Cage Number, Current Revolutions, Revolutions per food, Time Recorded
1,1,100,Thu May 10 23:18:14 2018
2,1,200,Thu May 10 23:18:14 2018
3,1,300,Thu May 10 23:18:14 2018
4,1,400,Thu May 10 23:18:14 2018
5,1,500,Thu May 10 23:18:14 2018
6,1,600,Thu May 10 23:18:14 2018
7,1,700,Thu May 10 23:18:14 2018
8,1,800,Thu May 10 23:18:14 2018
1,1,100,Thu May 10 23:20:34 2018
2,1,200,Thu May 10 23:20:34 2018
3,1,300,Thu May 10 23:20:34 2018
4,1,400,Thu May 10 23:20:34 2018
5,1,500,Thu May 10 23:20:34 2018
6,1,600,Thu May 10 23:20:34 2018
7,1,700,Thu May 10 23:20:34 2018
8,1,800,Thu May 10 23:20:34 2018
1,1,100,Thu May 10 23:23:02 2018
2,1,200,Thu May 10 23:23:02 2018
3,1,300,Thu May 10 23:23:02 2018
4,1,400,Thu May 10 23:23:02 2018
5,1,500,Thu May 10 23:23:02 2018
6,1,600,Thu May 10 23:23:02 2018
7,1,700,Thu May 10 23:23:02 2018
8,1,800,Thu May 10 23:23:02 2018
1,1,100,Thu May 10 23:23:18 2018
2,1,200,Thu May 10 23:23:18 2018
3,1,300,Thu May 10 23:23:18 2018
4,1,400,Thu May 10 23:23:18 2018
5,1,500,Thu May 10 23:23:18 2018
6,1,600,Thu May 10 23:23:18 2018
7,1,700,Thu May 10 23:23:18 2018
8,1,800,Thu May 10 23:23:18 2018
1,1,100,Thu May 10 23:25:50 2018
2,1,200,Thu May 10 23:25:50 2018
3,1,300,Thu May 10 23:25:50 2018
4,1,400,Thu May 10 23:25:50 2018
5,1,500,Thu May 10 23:25:50 2018
6,1,600,Thu May 10 23:25:50 2018
7,1,700,Thu May 10 23:25:50 2018
8,1,800,Thu May 10 23:25:50 2018
1,1,100,Fri May 11 00:00:30 2018
2,1,200,Fri May 11 00:00:30 2018
3,1,300,Fri May 11 00:00:30 2018
4,1,400,Fri May 11 00:00:30 2018
5,1,500,Fri May 11 00:00:30 2018
6,1,600,Fri May 11 00:00:30 2018
7,1,700,Fri May 11 00:00:30 2018
8,1,800,Fri May 11 00:00:30 2018
1,1,100,Fri May 11 00:00:46 2018
2,1,200,Fri May 11 00:00:46 2018
3,1,300,Fri May 11 00:00:46 2018
4,1,400,Fri May 11 00:00:46 2018
5,1,500,Fri May 11 00:00:46 2018
6,1,600,Fri May 11 00:00:46 2018
7,1,700,Fri May 11 00:00:46 2018
8,1,800,Fri May 11 00:00:46 2018
1,1,100,Fri May 11 00:36:37 2018
2,1,200,Fri May 11 00:36:37 2018
3,1,300,Fri May 11 00:36:37 2018
4,1,400,Fri May 11 00:36:37 2018
5,1,500,Fri May 11 00:36:37 2018
6,1,600,Fri May 11 00:36:37 2018
7,1,700,Fri May 11 00:36:37 2018
8,1,800,Fri May 11 00:36:37 2018
1,1,100,Fri May 11 00:38:47 2018
2,1,200,Fri May 11 00:38:47 2018
3,1,300,Fri May 11 00:38:47 2018
4,1,400,Fri May 11 00:38:47 2018
5,1,500,Fri May 11 00:38:47 2018
6,1,600,Fri May 11 00:38:47 2018
7,1,700,Fri May 11 00:38:47 2018
8,1,800,Fri May 11 00:38:47 2018
1,1,100,Fri May 11 00:40:18 2018
2,1,200,Fri May 11 00:40:18 2018
3,1,300,Fri May 11 00:40:18 2018
4,1,400,Fri May 11 00:40:18 2018
5,1,500,Fri May 11 00:40:18 2018
6,1,600,Fri May 11 00:40:18 2018
7,1,700,Fri May 11 00:40:18 2018
8,1,800,Fri May 11 00:40:18 2018
1,1,100,Fri May 11 00:42:13 2018
2,1,200,Fri May 11 00:42:13 2018
3,1,300,Fri May 11 00:42:13 2018
4,1,400,Fri May 11 00:42:13 2018
5,1,500,Fri May 11 00:42:13 2018
6,1,600,Fri May 11 00:42:13 2018
7,1,700,Fri May 11 00:42:13 2018
8,1,800,Fri May 11 00:42:13 2018
1,1,100,Fri May 11 00:43:18 2018
2,1,200,Fri May 11 00:43:18 2018
3,1,300,Fri May 11 00:43:18 2018
4,1,400,Fri May 11 00:43:18 2018
5,1,500,Fri May 11 00:43:18 2018
6,1,600,Fri May 11 00:43:18 2018
7,1,700,Fri May 11 00:43:18 2018
8,1,800,Fri May 11 00:43:18 2018
1,1,100,Fri May 11 00:43:44 2018
2,1,200,Fri May 11 00:43:44 2018
3,1,300,Fri May 11 00:43:44 2018
4,1,400,Fri May 11 00:43:44 2018
5,1,500,Fri May 11 00:43:44 2018
6,1,600,Fri May 11 00:43:44 2018
7,1,700,Fri May 11 00:43:44 2018
8,1,800,Fri May 11 00:43:44 2018
1,1,100,Fri May 11 14:27:08 2018
2,1,200,Fri May 11 14:27:08 2018
3,1,300,Fri May 11 14:27:08 2018
4,1,400,Fri May 11 14:27:08 2018
5,1,10,Fri May 11 14:27:08 2018
6,1,600,Fri May 11 14:27:08 2018
7,1,700,Fri May 11 14:27:08 2018
8,1,800,Fri May 11 14:27:08 2018
1,1,100,Fri May 11 14:28:23 2018
2,1,200,Fri May 11 14:28:23 2018
3,1,300,Fri May 11 14:28:23 2018
4,1,400,Fri May 11 14:28:23 2018
5,1,10,Fri May 11 14:28:23 2018
6,1,600,Fri May 11 14:28:23 2018
7,1,700,Fri May 11 14:28:23 2018
8,1,800,Fri May 11 14:28:23 2018
1,1,100,Fri May 11 14:34:01 2018
2,1,200,Fri May 11 14:34:01 2018
3,1,300,Fri May 11 14:34:01 2018
4,1,400,Fri May 11 14:34:01 2018
5,6,10,Fri May 11 14:34:01 2018
6,1,600,Fri May 11 14:34:01 2018
7,1,700,Fri May 11 14:34:01 2018
8,1,800,Fri May 11 14:34:01 2018
1,1,100,Fri May 11 14:35:21 2018
2,1,200,Fri May 11 14:35:21 2018
3,1,300,Fri May 11 14:35:21 2018
4,1,400,Fri May 11 14:35:21 2018
5,1,10,Fri May 11 14:35:21 2018
6,1,600,Fri May 11 14:35:21 2018
7,1,700,Fri May 11 14:35:21 2018
8,1,800,Fri May 11 14:35:21 2018
